1 0 22.1353 0.00838785 5 2.83333 13
1 1 22.1143 0.00721181 3 0 17
0 59 22.2243 0.0062696 3 3.45455 34
0 59 1.718 2 2 4 0
0 0 22.2962 0.00674549 1 5 13
0 1 22.4766 0.0134856 2 0 6
1 0 22.3974 0.0113405 3 3.88235 19
1 1 22.3109 0.00683696 3 3.58333 17
0 60 22.1915 0.0056418 4 3.86364 25
0 60 1.718 2 2 4 0
0 0 22.4308 0.00404058 4 3.25 7
0 1 22.3942 0.00681467 4 3.5 6
1 0 22.3372 0.00760085 2 0 16
1 1 22.2364 0.0042864 4 2.28571 19
0 61 22.3773 0.00354167 5 1.88889 28
0 61 1.686 2 2 4 0
0 0 22.3423 0.000797966 3 0 5
0 1 22.36 0.00404878 4 0 9
1 0 22.2554 0.00376694 4 1.2 19
1 1 22.3531 0.0105378 3 0 24
0 62 22.3681 0.00555532 3 0 35
0 62 1.501 2 2 4 0
0 0 22.6656 0.000100005 2 0 2
0 1 22.4382 0.014342 3 0 13
1 0 22.5706 0.00788393 2 0 7
1 1 22.6241 0.0103327 2 0 6
0 63 22.4106 0.00466733 3 2.30769 35
0 63 1.545 2 2 4 0
0 0 22.66 0.00648351 2 0 6
0 1 22.4101 0.00327046 3 1.33333 11
1 0 22.4514 0.00631052 3 3.5 15
1 1 22.3679 0.0051833 3 0 27
0 64 22.3861 0.00274463 4 0 36
0 64 1.604 2 2 4 0
0 0 22.3707 0.00252663 1 5 13
0 1 22.6344 0.00124996 2 0 3
1 0 22.3583 0.00489894 3 0 28
1 1 22.4331 0.0116575 3 2.16667 17
0 65 22.4391 0.0077322 5 3.21429 25
0 65 1.598 2 2 4 0
0 0 22.3856 0.00588237 3 2.66667 7
0 1 22.1416 0.00681346 4 0 5
1 0 22.4138 0.00825164 4 2 18
1 1 22.4797 0.00768114 5 3.5 15
0 66 22.1348 0.00568398 6 0 23
0 66 1.493 2 2 4 0
0 0 22.1239 0.004583 4 0 6
0 1 22.4461 0.0048692 3 3.8 6
1 0 22.1376 0.00826823 5 0 12
1 1 22.1142 0.00693508 4 0 13
0 67 22.1332 0.00308865 5 0 19
0 67 1.498 2 2 4 0
0 0 22.417 0.00690987 3 3.4 8
0 1 22.1405 0.00237116 3 0 6
1 0 22.4225 0.0103375 4 3.81818 13
1 1 22.414 0.00462528 3 1.85714 22
0 68 22.3335 0.00326215 5 2.27273 30
0 68 1.479 2 2 4 0
0 0 22.4673 0.0146293 2 0 8
0 1 22.3986 0.00643842 3 2 12
1 0 22.4115 0.00354087 3 2.57143 17
1 1 22.3657 0.00699532 4 3 20
0 69 24.76 0 4 0 1
0 69 1.491 2 2 4 0
